the 0th hypergraph
127 226 299 958 
242 390 516 804 
265 588 619 880 
123 327 754 901 
270 611 652 797 
124 375 777 958 
111 644 735 925 
143 321 636 956 
114 261 503 510 
236 423 570 663 
50 61 927 957 
69 108 218 334 
79 180 712 788 
77 346 462 652 
156 561 613 877 
72 348 367 864 
53 93 168 413 
27 176 927 928 
11 387 467 796 
332 385 577 933 
7 485 522 825 
72 536 676 729 
126 592 746 855 
258 322 335 416 
335 500 659 853 
127 521 553 571 
111 292 706 916 
137 318 661 899 
197 627 680 889 
193 526 888 911 
40 556 811 901 
342 637 729 741 
56 243 429 767 
184 288 328 449 
134 533 720 949 
60 480 499 783 
105 311 386 931 
40 129 606 835 
42 123 544 658 
729 917 924 999 
139 355 808 888 
144 594 652 863 
298 361 702 755 
100 278 352 713 
228 229 840 879 
285 477 791 940 
45 90 483 673 
104 416 456 836 
545 744 837 936 
2 89 558 598 
576 658 725 744 
117 168 524 971 
394 676 863 935 
251 350 377 745 
232 264 283 553 
240 614 651 851 
288 319 523 864 
32 362 790 862 
278 638 662 786 
161 359 408 541 
167 240 311 823 
388 668 673 855 
77 308 451 936 
139 470 649 700 
140 277 625 881 
379 421 452 491 
135 293 299 434 
62 209 433 699 
97 567 713 957 
39 371 648 930 
55 266 335 885 
100 303 849 974 
111 259 370 437 
465 564 859 966 
362 578 722 810 
213 321 900 950 
263 264 365 948 
27 490 581 600 
110 302 397 786 
384 393 627 822 
611 717 944 967 
222 399 755 884 
191 205 388 803 
435 567 696 732 
27 59 297 714 
154 313 432 579 
48 275 418 757 
27 146 374 723 
16 419 627 877 
556 675 878 889 
267 485 716 787 
196 525 866 876 
22 44 134 768 
229 247 269 884 
163 361 558 877 
164 302 392 802 
287 303 481 916 
522 575 766 871 
243 433 644 828 
876 922 986 994 
139 372 806 823 
196 357 633 907 
600 643 812 832 
61 371 580 740 
10 107 581 639 
111 152 322 489 
355 390 514 730 
58 186 257 868 
399 407 556 842 
128 656 721 744 
120 135 153 861 
36 182 621 880 
70 621 720 903 
12 396 985 993 
152 280 850 969 
83 220 234 695 
196 685 881 927 
13 96 473 916 
205 226 386 809 
177 572 578 667 
146 271 280 561 
350 512 589 832 
10 123 512 849 
5 95 217 578 
27 509 849 910 
13 235 284 932 
516 627 821 981 
339 611 819 853 
403 646 690 741 
41 117 406 592 
76 182 532 812 
259 591 885 922 
133 271 466 760 
390 708 878 947 
143 645 665 845 
49 747 904 999 
152 165 536 593 
667 752 859 973 
496 577 634 749 
121 187 576 889 
126 561 832 980 
282 619 626 932 
92 313 490 947 
199 446 629 699 
16 116 241 647 
281 460 704 802 
390 480 693 846 
280 425 903 946 
491 730 735 959 
210 509 574 998 
19 354 546 660 
156 262 272 371 
35 167 324 402 
442 686 722 926 
73 117 327 910 
237 580 943 988 
296 621 715 720 
131 241 404 926 
17 339 577 708 
99 824 976 992 
279 771 814 912 
166 368 594 816 
156 314 811 835 
12 278 396 720 
54 110 229 249 
294 430 885 990 
95 233 744 811 
38 498 882 884 
29 132 719 885 
71 278 444 566 
78 534 670 917 
50 62 241 889 
9 212 458 678 
58 202 499 926 
278 380 726 812 
29 374 660 999 
337 601 726 899 
313 317 510 802 
181 246 264 661 
267 316 479 718 
85 280 506 653 
92 499 535 916 
33 439 494 549 
49 571 772 986 
230 737 956 991 
32 206 465 891 
208 397 909 946 
32 94 173 254 
164 389 512 690 
64 317 540 661 
82 111 599 635 
63 366 868 933 
155 228 254 670 
423 442 595 601 
661 736 806 976 
54 92 375 746 
114 165 264 457 
61 728 776 923 
491 580 593 780 
63 159 233 351 
351 707 769 873 
299 558 773 804 
75 318 331 548 
419 443 474 489 
537 573 709 935 
7 102 594 696 
52 389 419 783 
70 171 404 487 
106 359 531 596 
125 307 592 803 
100 142 469 684 
420 508 916 963 
101 142 562 667 
172 512 557 983 
368 381 533 910 
49 461 602 880 
353 635 866 940 
172 385 907 955 
12 64 427 740 
96 186 438 634 
157 725 770 842 
438 484 655 838 
116 233 696 831 
262 354 878 887 
124 198 560 853 
78 145 304 851 
57 532 745 859 
267 524 762 895 
296 366 491 966 
332 603 842 984 
92 125 538 661 
128 613 665 858 
234 568 818 959 
514 541 595 846 
327 511 581 894 
8 242 452 889 
220 492 647 924 
390 617 821 922 
23 175 890 945 
453 459 542 981 
156 436 600 853 
277 425 713 714 
43 286 755 970 
7 343 411 703 
794 887 948 956 
226 578 612 748 
98 202 589 622 
48 72 139 743 
43 402 754 885 
252 466 703 778 
123 345 549 837 
57 478 631 637 
263 473 707 755 
92 591 728 831 
84 367 621 811 
38 410 418 471 
374 576 625 906 
493 649 749 855 
197 375 899 924 
364 616 638 967 
224 405 407 990 
92 100 968 980 
253 499 678 725 
129 178 233 680 
426 567 742 831 
164 379 464 615 
309 573 623 800 
342 491 636 679 
333 365 651 912 
182 470 542 604 
228 351 382 610 
63 249 404 589 
462 734 930 975 
227 330 844 868 
127 214 819 860 
249 498 733 849 
18 368 636 855 
137 434 479 542 
24 342 718 965 
76 594 733 807 
403 577 717 793 
246 647 666 827 
252 253 461 522 
232 335 362 594 
485 720 909 936 
89 290 875 920 
423 427 626 628 
258 458 502 826 
178 557 620 968 
176 381 551 944 
148 303 590 741 
197 698 753 789 
54 355 523 540 
3 347 388 730 
73 626 662 690 
41 508 858 971 
209 620 775 924 
321 394 505 826 
49 578 715 911 
338 587 675 743 
23 509 594 957 
343 404 563 951 
144 287 447 626 
567 724 765 983 
281 369 449 863 
225 234 237 674 
320 373 565 769 
28 69 460 729 
95 296 329 752 
269 477 716 734 
59 428 696 850 
70 233 702 711 
347 761 899 996 
131 258 735 871 
8 103 360 572 
177 260 640 674 
105 392 458 516 
51 79 299 572 
61 170 487 695 
16 153 296 938 
285 587 624 939 
475 613 678 706 
321 462 582 909 
64 379 411 713 
98 440 582 781 
324 347 568 715 
330 521 638 795 
229 581 796 986 
368 668 740 828 
196 485 593 913 
112 434 854 855 
240 451 463 622 
44 383 397 599 
453 472 524 572 
163 188 562 614 
134 436 834 899 
46 584 888 933 
188 432 439 520 
161 213 622 923 
15 248 381 907 
165 185 534 610 
38 510 527 836 
226 286 517 535 
140 604 876 913 
171 204 377 521 
186 331 335 502 
111 341 542 788 
335 355 693 829 
48 204 702 882 
501 763 796 803 
169 172 228 387 
the 5th hypergraph
218 438 802 806 
93 128 267 294 
34 60 703 716 
13 164 210 433 
135 640 688 853 
392 507 719 857 
80 200 213 410 
104 383 841 901 
224 310 407 944 
363 366 497 805 
317 322 347 830 
72 536 602 814 
55 344 904 959 
125 442 656 799 
245 494 654 729 
117 215 655 902 
175 345 627 732 
37 347 462 633 
203 488 720 976 
200 772 817 879 
369 385 622 812 
104 417 803 876 
12 186 264 718 
259 292 345 588 
63 127 518 528 
286 471 584 899 
18 438 456 756 
125 345 825 935 
183 276 625 999 
100 259 660 827 
249 294 495 769 
46 69 496 779 
489 492 540 915 
242 475 657 698 
67 158 545 921 
93 117 313 671 
120 434 660 962 
133 155 486 648 
383 422 965 991 
545 692 721 783 
75 346 633 792 
10 366 452 799 
23 744 802 826 
106 152 347 937 
204 219 501 522 
121 123 260 671 
170 234 367 678 
104 583 589 799 
123 569 740 965 
197 282 285 652 
130 194 385 903 
25 77 178 373 
247 422 555 771 
516 543 698 809 
48 117 461 867 
12 549 826 943 
63 288 490 609 
35 787 832 906 
415 634 656 939 
17 516 687 997 
19 82 145 683 
414 426 697 992 
315 384 417 487 
300 386 704 821 
636 756 856 958 
292 497 778 855 
211 495 788 977 
304 341 674 911 
463 624 749 950 
152 235 419 676 
36 348 546 898 
303 483 843 910 
182 391 468 611 
398 772 784 974 
33 339 575 578 
243 252 460 751 
218 584 690 861 
870 881 988 999 
48 459 898 961 
137 526 562 687 
200 243 574 846 
65 354 638 679 
107 177 526 633 
53 193 248 319 
21 232 452 735 
233 242 583 967 
55 75 640 810 
29 232 360 797 
55 199 252 343 
68 145 735 837 
171 205 482 939 
455 496 534 967 
158 268 349 663 
524 815 879 887 
75 323 337 495 
148 726 741 963 
101 760 952 987 
47 58 188 876 
85 246 392 431 
279 612 678 970 
152 575 840 843 
0 32 885 975 
281 870 909 913 
595 694 745 790 
4 663 677 692 
8 365 695 933 
282 762 896 964 
339 537 614 756 
562 619 702 982 
7 471 705 798 
84 223 228 697 
315 729 783 817 
321 347 424 960 
74 346 526 827 
42 267 365 665 
638 813 864 965 
83 271 468 712 
284 400 423 779 
30 203 318 792 
187 244 372 378 
411 441 622 822 
185 232 345 424 
42 141 680 812 
123 157 474 959 
109 375 756 964 
210 325 402 450 
57 615 645 982 
30 100 385 908 
453 747 774 968 
582 637 690 985 
89 155 514 742 
135 184 341 425 
290 381 692 991 
287 396 609 702 
615 742 901 930 
50 137 409 672 
493 664 673 886 
427 505 786 837 
243 247 567 585 
0 136 627 729 
228 372 600 792 
540 544 587 925 
154 224 882 963 
86 379 392 558 
152 356 659 887 
600 622 800 933 
102 434 685 764 
160 548 588 612 
27 361 458 825 
424 636 710 794 
412 467 734 774 
134 372 674 777 
195 266 900 956 
456 522 876 990 
769 781 883 987 
175 196 724 728 
282 708 756 996 
129 150 715 771 
293 411 557 626 
61 563 854 941 
203 527 693 710 
449 585 884 949 
50 78 518 812 
55 191 348 857 
134 345 704 817 
510 788 807 948 
216 301 598 840 
205 273 368 469 
617 747 785 862 
448 952 997 998 
226 340 515 755 
133 395 470 655 
227 689 801 882 
245 496 572 624 
635 747 879 902 
157 458 525 895 
94 495 699 715 
229 254 556 653 
72 324 804 874 
112 545 722 985 
28 90 262 836 
16 69 657 959 
213 561 590 737 
375 411 662 705 
33 763 790 934 
211 247 374 824 
84 102 944 983 
0 134 262 419 
21 65 655 741 
277 311 620 879 
118 234 841 978 
362 433 488 555 
135 294 904 952 
136 249 904 997 
32 725 821 911 
311 434 468 538 
202 386 387 987 
170 297 787 870 
257 394 844 925 
124 313 318 369 
125 534 780 850 
542 744 785 976 
190 293 634 898 
43 537 568 975 
20 81 424 740 
43 125 414 495 
561 645 658 899 
96 447 472 686 
319 761 815 960 
241 321 403 972 
111 114 317 762 
39 510 547 580 
172 245 591 746 
223 406 525 791 
13 258 704 812 
175 417 487 556 
164 172 549 902 
258 319 699 995 
96 586 803 873 
124 136 152 973 
107 347 487 996 
8 612 625 836 
55 71 104 224 
31 46 273 289 
108 179 195 273 
123 223 487 789 
184 280 503 605 
10 279 578 945 
211 276 770 919 
348 820 821 890 
219 305 756 884 
144 172 219 705 
150 217 381 990 
41 432 534 558 
37 238 431 512 
61 279 745 927 
550 716 838 897 
80 337 406 487 
395 531 584 999 
139 283 323 901 
146 528 862 991 
347 447 481 781 
190 228 263 985 
430 521 693 856 
9 438 535 866 
471 667 811 858 
209 269 325 429 
58 349 698 800 
7 27 300 490 
222 242 563 594 
418 689 824 915 
525 776 784 995 
235 385 402 948 
515 656 729 852 
321 695 826 838 
290 711 725 982 
151 644 664 678 
400 563 700 746 
81 154 456 624 
49 451 820 873 
15 577 630 717 
234 347 493 961 
595 596 852 976 
12 348 728 812 
701 722 747 847 
33 244 281 795 
40 313 543 804 
38 260 671 888 
448 626 826 844 
313 779 863 958 
43 413 543 949 
28 187 292 621 
33 182 330 593 
525 572 918 951 
6 232 576 642 
347 411 427 882 
13 680 774 816 
78 269 585 637 
137 414 465 873 
104 251 351 984 
155 198 673 901 
108 770 779 963 
318 372 768 948 
138 363 747 956 
341 431 663 967 
358 520 553 665 
48 216 522 613 
342 385 410 784 
326 677 802 961 
62 68 93 783 
171 709 714 908 
41 375 770 854 
74 446 494 999 
538 564 871 977 
65 85 756 881 
103 121 514 944 
129 345 351 691 
138 263 608 716 
197 325 704 954 
318 749 780 890 
110 438 624 645 
183 217 329 371 
149 157 210 260 
278 312 529 583 
673 771 827 998 
116 747 781 980 
410 424 728 787 
246 763 797 903 
425 682 721 926 
252 436 451 912 
36 312 415 527 
597 706 845 996 
138 452 726 906 
598 629 840 919 
87 574 817 856 
112 296 308 884 
563 634 757 976 
62 120 441 930 
107 679 772 870 
276 390 545 992 
585 588 646 924 
3 80 101 239 
183 238 552 915 
239 273 290 910 
205 351 626 973 
137 783 824 982 
383 415 679 821 
317 662 723 839 
19 550 862 924 
271 541 550 730 
71 74 384 478 
326 332 642 851 
238 590 819 976 
394 496 527 901 
144 147 268 818 
100 629 834 917 
55 658 687 728 
361 475 739 868 
295 403 484 869 
97 314 633 819 
145 417 511 532 
258 355 478 782 
70 163 637 697 
278 437 783 870 
376 505 725 812 
177 775 776 825 
138 558 627 959 
64 224 753 783 
169 291 834 964 
85 120 504 746 
164 383 691 695 
194 302 621 727 
271 306 469 685 
25 139 182 560 
377 663 702 751 
1 239 503 520 
107 211 334 497 
370 417 768 827 
126 286 451 549 
109 463 581 939 
409 492 548 659 
35 652 904 915 
324 644 916 932 
0 59 676 782 
373 453 470 561 
131 277 443 832 
76 268 430 591 
54 354 629 766 
289 550 633 740 
142 403 685 736 
60 290 538 943 
433 625 730 913 
208 339 665 840 
539 557 871 961 
74 547 633 977 
24 334 510 983 
122 604 870 984 
22 153 583 974 
20 588 589 728 
277 632 696 896 
105 327 331 624 
169 510 847 971 
206 373 446 499 
256 848 879 945 
405 942 986 991 
195 307 710 747 
83 855 860 865 
295 508 574 719 
238 517 590 597 
105 612 879 902 
17 189 634 939 
313 464 712 898 
105 272 562 854 
348 412 756 947 
75 420 792 967 
342 506 833 874 
151 403 447 720 
346 561 610 998 
124 416 559 839 
52 92 461 598 
241 289 595 938 
157 706 728 757 
79 186 330 951 
60 78 649 929 
197 259 468 757 
76 311 326 800 
11 313 452 790 
729 795 811 987 
60 82 407 575 
74 541 688 728 
144 601 681 832 
91 462 703 793 
544 587 609 686 
442 477 769 781 
184 330 585 872 
369 448 498 980 
142 161 840 998 
4 381 608 889 
114 240 439 634 
600 644 800 819 
481 526 776 888 
96 765 788 995 
11 398 736 808 
480 503 743 967 
328 700 701 791 
108 366 468 958 
29 60 72 782 
55 221 834 875 
32 123 388 851 
55 80 451 875 
44 51 470 820 
280 497 814 998 
504 582 840 912 
160 609 621 733 
398 533 722 898 
96 388 500 894 
128 397 850 981 
92 211 464 942 
76 416 447 636 
129 692 772 797 
149 401 453 830 
63 214 244 838 
75 97 512 682 
26 27 45 642 
283 363 486 518 
9 625 671 861 
79 223 682 799 
126 413 750 959 
23 119 157 977 
644 768 810 909 
439 574 599 831 
328 931 958 966 
27 503 607 778 
168 475 582 713 
320 365 682 995 
232 472 492 546 
16 229 318 875 
178 224 423 466 
542 686 864 980 
335 823 898 929 
55 183 587 723 
328 500 528 593 
32 322 405 476 
367 630 651 797 
84 710 956 994 
45 534 653 673 
412 603 644 961 
249 478 822 940 
197 712 754 884 
100 316 605 983 
437 470 528 998 
33 366 735 951 
236 254 313 427 
131 483 546 705 
112 226 396 987 
236 258 315 495 
15 59 622 709 
27 794 875 976 
338 687 801 894 
255 270 315 361 
278 521 813 851 
147 618 623 804 
40 198 455 647 
266 357 410 493 
394 397 488 569 
140 265 554 824 
146 477 721 999 
199 707 737 848 
242 760 774 793 
2 264 301 491 
171 300 381 647 
192 319 571 665 
403 603 950 964 
140 518 655 784 
70 279 386 777 
225 368 483 504 
214 283 694 822 
203 481 554 918 
556 923 975 977 
339 727 967 990 
127 249 326 463 
48 327 352 499 
402 726 754 784 
160 689 720 893 
291 350 910 962 
126 217 242 439 
130 155 519 941 
158 602 897 963 
153 242 252 837 
155 191 292 603 
162 445 876 884 
302 620 806 981 
267 388 626 692 
617 729 749 932 
227 323 577 835 
731 766 880 998 
97 321 532 580 
87 226 388 727 
44 210 378 675 
102 273 889 961 
47 407 465 876 
180 673 737 992 
184 574 819 977 
536 592 859 962 
295 496 619 983 
448 464 599 648 
56 431 447 779 
280 415 680 872 
129 512 951 961 
252 340 519 919 
36 641 735 920 
392 501 690 882 
165 393 798 821 
47 247 352 820 
267 364 521 629 
82 139 469 582 
62 578 644 985 
153 332 464 996 
57 428 492 812 
217 366 437 616 
222 611 612 896 
79 533 790 954 
77 722 839 940 
410 496 648 931 
120 368 391 438 
652 722 751 817 
32 170 854 936 
59 268 746 784 
149 685 751 802 
537 624 934 995 
235 356 546 768 
300 393 753 787 
309 544 556 888 
364 455 579 886 
43 121 584 933 
375 540 652 977 
30 617 630 689 
204 281 383 491 
256 285 369 948 
465 507 539 849 
363 438 612 684 
15 61 91 255 
51 253 254 342 
402 574 651 868 
148 257 271 464 
182 613 724 825 
175 315 692 896 
158 165 175 774 
171 408 787 998 
154 312 725 760 
35 377 382 689 
132 316 447 915 
236 682 720 806 
488 596 651 888 
223 300 595 972 
95 425 553 809 
375 521 886 923 
126 306 515 556 
204 220 862 867 
274 326 385 563 
535 598 918 981 
248 323 377 977 
104 218 650 689 
109 263 867 948 
303 319 710 762 
231 601 758 880 
109 268 443 821 
366 392 464 650 
184 720 944 987 
174 186 324 893 
168 256 428 566 
180 340 572 876 
201 221 681 882 
305 425 498 680 
334 389 495 725 
282 384 753 785 
26 454 536 889 
196 307 650 973 
48 416 438 586 
26 357 760 984 
319 643 893 980 
119 343 383 426 
209 383 508 617 
82 576 585 587 
197 451 461 794 
524 610 843 895 
42 302 390 434 
298 381 487 625 
44 135 449 704 
284 663 747 889 
36 352 722 778 
87 135 622 637 
146 604 659 922 
63 191 319 871 
0 192 485 813 
426 744 792 989 
51 108 381 666 
87 807 881 933 
21 65 731 804 
117 222 378 813 
211 375 389 751 
45 133 315 860 
163 348 549 556 
23 294 683 732 
184 380 477 794 
388 845 851 940 
30 105 565 884 
492 647 656 709 
410 573 785 881 
27 472 520 582 
260 510 609 640 
272 645 706 871 
12 212 429 798 
81 193 392 842 
210 280 313 564 
338 384 622 998 
4 164 548 860 
240 250 460 650 
160 716 740 945 
76 223 270 866 
49 363 817 891 
128 185 509 536 
308 416 649 762 
401 417 578 851 
394 396 417 956 
104 235 304 819 
172 295 549 843 
393 651 695 792 
171 301 691 747 
342 394 858 982 
378 649 770 979 
11 213 410 683 
770 786 793 944 
342 689 738 838 
29 38 156 434 
415 520 719 887 
104 319 415 658 
212 215 421 737 
354 388 411 845 
134 319 529 677 
84 406 531 830 
110 219 307 665 
26 215 305 629 
23 45 185 973 
205 242 793 869 
104 430 664 743 
354 567 735 753 
357 565 659 906 
28 78 233 949 
108 113 453 609 
65 255 563 952 
36 194 281 352 
161 485 537 986 
214 262 687 748 
283 292 394 685 
201 446 519 676 
490 504 532 700 
119 446 454 540 
221 297 780 968 
39 344 744 755 
169 684 835 918 
227 312 507 565 
376 594 695 905 
300 302 764 958 
115 164 552 782 
189 257 285 570 
228 246 386 593 
40 181 267 440 
453 665 679 856 
236 630 704 833 
138 351 357 869 
158 254 814 956 
501 609 614 863 
415 501 625 678 
85 213 503 813 
262 334 452 718 
140 358 649 747 
321 443 551 553 
587 641 762 900 
540 752 777 844 
373 393 485 965 
157 296 496 988 
83 243 275 291 
542 715 737 928 
9 90 504 850 
87 702 726 772 
185 361 410 834 
59 456 489 574 
103 278 412 931 
92 181 349 858 
226 754 795 885 
379 669 705 792 
337 624 705 900 
431 557 874 946 
299 588 750 825 
87 529 609 770 
20 362 727 850 
227 249 568 856 
112 137 458 757 
267 364 730 945 
316 329 651 844 
181 322 950 969 
480 709 958 964 
368 488 607 859 
487 757 846 994 
0 31 278 524 
104 162 218 350 
72 521 530 971 
450 576 701 804 
294 297 546 896 
126 401 650 717 
556 579 675 758 
358 517 816 937 
72 446 490 814 
632 658 831 955 
386 514 653 759 
392 454 955 993 
292 773 886 998 
96 619 760 865 
76 406 443 580 
51 627 709 731 
163 233 284 698 
375 396 648 703 
55 136 178 463 
231 387 719 959 
141 717 740 886 
120 518 606 701 
13 188 189 304 
249 307 374 457 
108 197 389 768 
75 364 478 654 
100 581 656 784 
335 483 668 750 
52 403 488 982 
98 236 333 494 
191 764 935 980 
127 206 343 935 
222 484 592 690 
2 129 166 424 
302 376 460 632 
22 76 511 766 
513 720 914 919 
95 401 818 940 
106 117 296 799 
273 848 928 984 
295 325 416 983 
43 197 690 774 
116 576 607 814 
295 311 553 941 
142 405 914 981 
110 184 318 867 
293 316 724 824 
112 350 766 870 
308 405 581 707 
6 567 873 913 
370 575 811 970 
236 516 728 748 
204 209 213 461 
2 62 471 726 
55 324 338 418 
1 155 487 970 
334 505 866 954 
270 325 371 395 
43 624 723 759 
245 348 621 718 
152 237 278 536 
342 609 661 803 
236 924 964 991 
67 152 693 785 
90 164 559 566 
191 289 586 693 
97 163 481 722 
2 860 871 954 
67 269 282 733 
177 337 737 869 
290 475 652 930 
10 221 261 952 
735 784 807 911 
248 266 658 682 
404 559 828 833 
56 83 337 943 
119 476 690 794 
15 88 164 764 
39 126 638 877 
157 212 781 956 
81 791 831 962 
327 447 599 853 
296 575 827 864 
288 322 728 755 
5 336 353 666 
221 548 753 947 
64 170 268 290 
274 623 652 796 
126 369 508 719 
520 687 863 967 
278 369 906 912 
16 573 698 919 
180 457 505 748 
194 224 318 484 
316 675 693 709 
121 130 552 811 
69 211 828 842 
32 182 839 890 
163 249 265 810 
174 461 713 739 
405 850 902 951 
123 247 323 845 
146 282 359 977 
338 608 722 845 
367 449 769 985 
173 329 365 511 
886 923 938 958 
367 441 587 635 
73 136 296 804 
297 361 466 713 
110 416 621 884 
474 695 745 777 
196 217 393 599 
239 420 614 765 
298 459 725 849 
165 719 862 953 
90 223 446 686 
319 563 633 710 
75 84 303 818 
320 365 530 577 
20 256 460 833 
245 505 768 882 
100 606 760 967 
17 384 666 863 
128 571 763 979 
174 676 708 762 
360 764 827 918 
11 21 327 796 
475 624 706 893 
184 255 395 646 
532 634 877 944 
227 309 801 914 
388 521 529 745 
20 378 573 684 
246 587 593 809 
125 430 748 906 
226 375 804 844 
184 222 249 494 
105 554 570 882 
647 665 868 875 
288 656 718 940 
178 417 851 941 
286 561 612 914 
546 741 841 859 
229 829 834 860 
24 430 845 875 
113 665 986 997 
303 403 720 988 
24 74 350 517 
263 531 659 996 
419 505 872 922 
201 252 354 711 
143 252 395 656 
133 269 278 299 
134 372 700 713 
79 377 866 980 
113 199 393 948 
67 729 890 989 
3 390 819 894 
52 291 529 625 
393 652 657 850 
136 224 504 914 
21 332 627 713 
573 602 692 888 
313 328 540 634 
155 222 260 788 
85 424 764 843 
39 262 577 818 
18 236 349 849 
644 660 795 960 
33 109 531 736 
179 887 904 931 
69 416 670 977 
479 565 594 884 
143 149 480 583 
22 225 820 928 
57 530 549 878 
532 553 627 916 
158 824 935 936 
74 854 919 985 
251 432 607 613 
39 203 414 463 
179 222 493 756 
46 235 795 888 
17 143 467 877 
18 193 504 814 
11 294 585 773 
13 116 676 820 
313 419 589 838 
237 299 316 463 
374 428 797 802 
110 556 566 867 
6 552 758 783 
224 285 416 714 
14 203 630 755 
217 390 707 903 
201 616 766 991 
138 591 799 915 
35 53 298 491 
281 367 582 992 
53 75 516 685 
189 744 761 769 
30 251 538 839 
359 567 718 992 
139 189 347 576 
86 751 800 915 
465 641 800 816 
127 506 523 913 
90 322 742 943 
659 812 848 897 
3 593 951 983 
132 154 181 948 
222 264 382 434 
192 304 347 627 
115 435 547 978 
374 466 880 899 
126 595 682 900 
107 240 279 439 
30 379 402 423 
36 279 403 991 
146 638 685 772 
157 265 523 916 
275 607 637 705 
175 207 421 813 
82 163 589 763 
98 146 299 558 
5 92 445 660 
165 461 726 742 
127 309 553 799 
266 401 744 999 
109 290 320 582 
4 465 642 651 
299 384 773 934 
46 138 808 940 
80 121 132 476 
60 371 374 843 
34 732 748 947 
561 930 974 991 
347 401 743 747 
5 120 612 694 
299 532 668 853 
561 685 720 733 
14 667 717 759 
289 438 500 950 
184 271 292 779 
97 98 400 737 
385 401 613 661 
80 496 910 917 
497 501 720 907 
78 797 807 868 
219 574 715 907 
401 429 487 724 
281 406 629 711 
9 380 480 499 
121 248 438 878 
268 647 654 860 
105 484 506 709 
93 133 248 254 
36 91 355 807 
364 385 401 658 
203 228 253 756 
18 156 268 892 
185 793 825 887 
347 386 443 967 
58 111 207 800 
423 536 645 958 
114 137 154 974 
480 547 826 856 
82 253 521 859 
25 596 844 943 
159 355 396 708 
209 445 739 913 
216 390 676 985 
150 200 413 467 
71 269 874 981 
520 740 926 929 
381 397 723 836 
48 641 678 785 
196 287 676 988 
7 371 867 980 
315 828 955 981 
20 316 557 800 
310 666 958 970 
74 193 527 582 
354 380 632 766 
37 40 829 891 
544 606 825 877 
500 835 881 929 
349 369 568 939 
504 645 740 970 
17 142 838 925 
567 628 680 852 
31 188 307 719 
344 579 692 879 
367 398 887 890 
731 836 855 889 
103 701 755 849 
204 320 322 861 
68 668 810 876 
99 745 849 958 
146 234 620 928 
90 569 698 729 
290 580 727 890 
37 279 639 741 
129 171 726 852 
156 288 385 553 
336 762 806 836 
285 667 756 793 
50 450 525 851 
567 603 641 844 
54 296 499 682 
2 395 410 597 
41 105 173 579 
188 518 923 949 
26 170 173 674 
30 305 421 657 
34 74 594 968 
135 239 516 598 
123 180 504 805 
121 400 837 951 
148 177 299 794 
111 451 727 729 
34 267 453 519 
49 298 712 782 
20 415 508 598 
479 560 670 765 
325 776 805 821 
474 509 638 850 
94 522 695 812 
517 602 771 935 
415 511 622 985 
19 254 315 803 
128 223 335 740 
3 69 495 670 
103 344 464 843 
113 180 187 555 
151 172 614 921 
620 748 809 945 
142 349 493 847 
96 466 545 762 
17 61 623 867 
197 399 708 859 
14 152 466 797 
410 683 815 878 
567 749 789 896 
104 340 342 626 
49 222 364 882 
166 222 250 359 
51 485 542 656 
122 199 274 974 
68 189 245 377 
132 191 252 359 
44 254 684 994 
186 292 512 987 
111 578 601 814 
186 257 376 493 
41 87 490 912 
185 279 487 995 
365 582 851 929 
28 60 464 726 
121 177 292 681 
18 360 965 980 
427 522 785 845 
196 358 582 891 
126 288 402 576 
12 657 753 787 
36 754 810 996 
217 365 707 814 
52 167 742 973 
282 356 377 519 
157 252 385 386 
197 557 839 987 
42 147 632 851 
220 761 949 984 
360 625 648 872 
23 698 738 948 
259 341 414 533 
87 101 260 415 
52 300 527 878 
114 331 653 752 
443 609 832 994 
161 456 503 554 
355 420 628 887 
425 442 544 939 
601 652 669 932 
260 423 452 711 
172 298 576 941 
779 847 977 984 
386 416 495 711 
113 195 698 769 
56 201 294 548 
354 444 526 974 
318 576 621 713 
255 537 656 791 
367 509 550 841 
11 59 499 924 
15 229 713 833 
176 250 599 724 
535 673 713 793 
28 174 518 602 
69 236 284 843 
131 297 380 435 
70 93 101 300 
107 933 939 947 
28 447 545 880 
185 755 848 967 
224 374 380 705 
72 287 486 777 
253 491 569 678 
45 347 787 910 
48 206 395 893 
73 940 943 957 
3 365 411 854 
27 73 343 528 
50 167 588 815 
268 329 551 696 
512 552 827 982 
255 605 808 916 
341 424 887 897 
204 587 672 678 
377 378 571 870 
211 439 589 698 
302 684 720 989 
216 326 785 972 
162 167 438 852 
39 241 627 773 
228 441 595 916 
30 358 387 658 
99 155 174 787 
138 252 621 719 
394 410 505 733 
45 129 738 763 
256 350 524 974 
411 535 746 774 
2 260 609 868 
645 719 782 864 
97 188 860 946 
150 207 609 660 
215 403 756 847 
30 67 87 766 
21 260 667 867 
3 40 204 655 
579 638 644 737 
399 409 460 950 
315 465 790 958 
6 457 504 807 
141 442 631 933 
342 493 856 934 
153 221 361 813 
202 601 805 855 
146 443 565 906 
38 727 774 826 
254 437 803 958 
211 363 974 985 
421 448 577 647 
245 290 369 446 
54 256 441 868 
111 534 911 916 
200 505 520 975 
149 708 729 987 
385 916 927 967 
95 436 496 810 
188 516 868 979 
8 227 301 728 
452 469 544 889 
40 478 495 537 
245 289 434 633 
56 531 582 989 
25 228 353 524 
537 679 748 934 
220 444 701 837 
116 467 646 905 
432 543 621 648 
33 226 592 947 
259 300 303 866 
42 43 221 769 
247 756 817 915 
