the 0th hypergraph
108 758 919 
64 273 697 
196 450 685 
194 860 979 
170 914 925 
508 791 876 
684 754 812 
328 377 655 
253 298 639 
624 673 761 
293 297 512 
167 491 929 
62 77 100 
55 110 585 
113 182 423 
146 709 744 
22 149 889 
99 592 920 
248 318 450 
370 452 508 
426 585 620 
102 885 961 
141 569 963 
205 311 749 
440 562 632 
202 393 666 
204 468 677 
68 517 916 
167 218 659 
390 401 438 
10 379 860 
125 655 895 
372 430 907 
45 343 882 
213 292 379 
691 754 756 
316 547 672 
18 616 800 
296 540 674 
73 579 928 
323 394 563 
169 548 650 
500 736 741 
367 672 766 
574 612 727 
763 780 960 
37 707 823 
33 48 771 
285 293 298 
12 36 774 
120 439 673 
339 752 959 
497 525 794 
70 466 584 
673 772 930 
256 541 902 
552 797 846 
108 665 756 
600 785 991 
288 311 561 
258 793 963 
283 774 807 
219 366 755 
68 225 923 
434 556 717 
92 154 412 
264 436 640 
182 259 399 
510 633 822 
52 380 964 
575 712 893 
201 588 645 
13 38 93 
171 293 629 
163 381 443 
193 564 884 
35 56 654 
312 755 947 
203 224 431 
82 797 946 
244 381 676 
47 384 570 
219 385 851 
338 801 926 
221 247 741 
142 309 920 
241 407 892 
452 543 550 
72 630 799 
436 705 870 
499 665 880 
177 684 949 
506 884 982 
22 787 793 
346 575 614 
344 680 989 
391 436 945 
389 817 861 
797 820 829 
61 251 704 
212 410 537 
711 771 818 
524 778 798 
197 295 797 
390 622 742 
776 819 981 
430 628 924 
352 548 813 
382 885 994 
773 859 946 
600 725 784 
78 123 862 
378 694 767 
469 620 668 
86 191 592 
245 259 477 
347 707 712 
222 383 503 
154 373 716 
645 865 878 
649 971 999 
111 864 920 
537 632 954 
390 562 964 
488 491 807 
272 538 914 
168 616 703 
14 726 899 
68 703 869 
157 353 727 
460 477 628 
262 395 940 
116 149 321 
128 495 575 
219 569 974 
213 289 330 
244 673 842 
7 180 305 
100 487 664 
363 630 658 
301 479 574 
27 98 834 
345 809 878 
253 457 549 
255 793 977 
205 640 841 
99 481 800 
252 754 957 
84 633 897 
368 595 953 
580 670 865 
18 433 545 
1 505 510 
86 145 647 
414 535 593 
685 734 809 
468 596 955 
347 541 743 
259 463 483 
517 537 651 
211 513 840 
0 317 490 
171 295 399 
285 462 565 
206 499 915 
18 27 294 
294 747 770 
548 611 952 
154 576 644 
120 930 959 
142 210 667 
84 182 931 
216 497 929 
262 545 933 
233 550 848 
542 553 919 
213 788 864 
156 234 803 
326 653 700 
499 911 967 
433 582 624 
256 472 631 
336 377 640 
116 408 456 
77 395 660 
63 102 546 
650 896 958 
251 387 754 
34 170 465 
147 283 408 
547 668 727 
459 616 805 
330 738 749 
167 877 964 
309 559 828 
39 148 610 
27 210 590 
246 286 788 
264 640 716 
410 587 661 
259 418 764 
309 792 840 
224 227 759 
545 664 951 
229 288 858 
5 632 802 
242 665 965 
308 326 347 
179 429 808 
294 308 932 
704 784 860 
80 108 590 
420 578 599 
61 368 856 
61 316 473 
38 162 999 
140 750 814 
101 458 588 
427 672 857 
455 782 856 
260 974 980 
5 898 977 
85 219 445 
109 423 830 
12 383 642 
241 412 560 
259 715 786 
79 641 929 
175 932 998 
9 466 731 
65 227 340 
97 494 915 
312 595 735 
117 128 427 
140 630 658 
145 925 927 
216 608 947 
884 907 952 
268 386 520 
421 818 903 
297 479 754 
437 736 947 
33 193 901 
491 501 508 
21 609 616 
252 441 885 
509 620 981 
313 496 794 
277 748 804 
101 398 990 
451 978 999 
160 245 678 
307 597 869 
137 237 454 
7 14 22 
455 838 875 
79 140 442 
244 253 418 
254 372 819 
486 581 610 
42 257 313 
93 466 593 
67 812 822 
238 275 925 
642 660 834 
186 834 934 
80 161 333 
436 449 595 
415 686 850 
400 845 846 
590 784 931 
153 406 890 
460 648 780 
700 754 890 
243 724 945 
1 120 253 
37 351 358 
24 377 965 
192 739 812 
242 362 842 
84 323 689 
331 415 610 
408 758 957 
298 597 790 
254 268 572 
113 502 847 
227 648 913 
713 814 902 
128 213 978 
621 861 958 
241 760 964 
451 468 510 
188 362 663 
15 551 950 
153 187 424 
320 707 729 
351 369 798 
635 678 987 
80 177 268 
28 185 398 
341 402 648 
185 384 610 
108 356 445 
57 670 815 
23 182 289 
364 421 684 
333 599 764 
751 916 961 
645 771 773 
86 126 262 
84 779 835 
34 510 566 
71 190 380 
14 944 997 
454 476 615 
134 476 496 
61 186 659 
476 765 942 
459 517 729 
170 523 753 
527 546 794 
294 330 830 
39 348 703 
102 330 989 
563 715 766 
146 177 788 
328 540 972 
544 698 915 
117 574 884 
303 508 734 
232 427 610 
224 256 308 
402 652 673 
467 500 837 
50 693 849 
305 511 541 
225 238 776 
195 244 796 
88 122 139 
312 615 733 
128 326 965 
27 59 935 
5 556 735 
83 431 456 
182 420 536 
530 748 751 
47 333 634 
442 719 983 
379 609 832 
449 479 951 
52 533 619 
160 284 557 
622 854 999 
46 572 591 
118 232 984 
301 371 943 
40 259 447 
63 595 947 
645 804 871 
3 158 656 
94 235 283 
288 734 765 
102 411 632 
370 485 738 
171 722 828 
410 609 890 
23 396 422 
561 619 717 
401 732 753 
113 531 852 
239 818 841 
114 572 784 
21 105 181 
387 390 926 
41 340 738 
478 564 972 
52 404 725 
146 513 801 
203 708 977 
266 626 706 
160 246 508 
136 287 671 
11 507 889 
232 311 638 
42 47 382 
523 561 877 
496 695 736 
72 556 706 
259 460 706 
77 526 743 
707 862 965 
68 499 651 
194 618 711 
20 99 954 
186 377 780 
133 220 649 
7 338 895 
353 687 921 
54 310 655 
434 450 678 
290 399 610 
120 927 987 
369 453 908 
517 706 840 
637 731 813 
181 194 573 
21 86 111 
182 801 828 
148 517 894 
170 388 412 
64 164 869 
16 168 483 
236 782 881 
512 577 895 
34 166 890 
169 476 893 
197 284 716 
257 674 865 
130 175 484 
184 231 836 
68 396 560 
87 404 438 
565 709 932 
225 475 608 
345 502 913 
25 51 65 
79 739 892 
34 387 616 
268 377 952 
729 900 927 
215 498 884 
292 798 931 
372 468 764 
430 515 662 
477 555 894 
308 724 867 
381 692 799 
142 249 499 
431 575 860 
392 533 832 
101 493 732 
14 734 956 
657 725 862 
545 574 717 
83 280 569 
159 360 967 
63 347 882 
483 518 814 
126 558 829 
29 262 274 
207 482 765 
400 706 707 
224 591 828 
129 373 489 
73 159 459 
494 860 934 
474 910 984 
44 369 501 
140 325 783 
76 279 423 
269 378 865 
225 761 915 
229 487 837 
50 600 680 
165 480 874 
108 337 525 
238 687 803 
3 400 967 
440 847 868 
69 153 259 
83 324 928 
591 734 735 
431 622 922 
142 306 307 
226 536 660 
216 469 781 
70 276 932 
494 551 852 
95 503 596 
479 685 800 
268 712 816 
108 203 484 
70 315 511 
413 964 980 
447 593 609 
3 612 742 
191 767 932 
344 707 869 
268 341 808 
65 809 990 
327 495 978 
195 233 610 
320 459 746 
540 790 810 
20 24 29 
85 421 973 
38 685 800 
282 341 558 
622 706 711 
41 364 774 
83 450 477 
27 221 661 
206 800 943 
190 689 718 
149 778 858 
359 750 939 
231 246 400 
772 778 870 
295 384 526 
426 471 742 
312 717 848 
200 387 464 
60 704 979 
196 394 765 
238 906 984 
486 705 883 
509 766 849 
13 29 501 
153 602 615 
494 551 711 
177 760 998 
371 462 503 
237 271 319 
79 227 394 
133 588 607 
504 843 965 
14 178 251 
641 774 981 
61 77 406 
278 657 837 
384 532 684 
8 549 783 
54 530 684 
165 433 857 
49 823 914 
286 618 644 
128 335 544 
276 740 866 
32 636 753 
134 519 711 
388 568 793 
8 493 581 
30 343 760 
336 394 883 
902 976 977 
5 490 863 
590 847 981 
247 334 953 
669 766 938 
103 566 760 
199 914 921 
140 262 410 
0 69 75 
322 703 722 
578 599 919 
299 496 713 
393 424 727 
115 293 712 
210 634 911 
379 471 746 
100 146 935 
122 580 770 
184 269 605 
455 666 821 
206 484 570 
208 922 974 
275 560 878 
342 569 594 
554 705 977 
4 251 966 
36 465 687 
528 681 812 
397 691 819 
223 396 912 
41 57 359 
105 660 893 
187 778 862 
623 784 805 
0 340 912 
428 540 805 
214 347 465 
407 610 701 
520 592 665 
0 650 996 
91 147 570 
100 648 858 
12 118 638 
34 375 713 
15 173 447 
209 406 414 
36 165 626 
142 836 840 
75 329 645 
17 139 733 
10 251 294 
474 756 989 
204 359 407 
233 395 647 
152 181 233 
616 660 736 
377 588 820 
240 259 456 
158 343 827 
709 776 889 
35 514 783 
94 212 363 
9 344 420 
53 84 340 
230 383 591 
40 238 566 
202 866 913 
16 475 730 
70 231 770 
331 569 916 
91 325 481 
207 939 959 
214 367 906 
351 379 461 
63 247 806 
43 844 964 
65 592 598 
92 438 477 
267 429 545 
4 722 806 
300 357 839 
52 284 779 
28 124 655 
134 228 664 
286 396 628 
262 608 721 
101 731 874 
594 788 917 
59 706 774 
897 940 949 
350 373 492 
502 828 996 
383 897 933 
285 670 985 
144 309 339 
60 499 802 
470 836 982 
89 113 388 
117 402 629 
64 574 669 
305 476 776 
193 725 768 
10 229 766 
110 212 285 
383 713 832 
340 536 748 
319 353 917 
376 394 458 
367 655 997 
180 204 311 
575 834 878 
58 543 572 
469 745 789 
143 211 711 
267 872 905 
29 146 706 
366 538 738 
71 211 977 
243 309 761 
611 655 872 
239 365 532 
63 584 915 
27 527 628 
392 724 996 
1 32 913 
321 654 851 
36 527 771 
464 937 953 
131 530 712 
164 287 394 
94 682 727 
172 198 216 
204 495 754 
310 710 881 
487 666 796 
53 503 979 
49 689 798 
120 526 950 
66 330 671 
208 558 712 
348 549 816 
96 442 459 
489 595 733 
102 502 988 
278 544 572 
63 457 742 
46 428 650 
77 454 709 
123 268 814 
286 415 457 
34 461 720 
196 344 739 
297 314 750 
210 419 877 
66 93 634 
87 269 349 
16 321 333 
769 947 976 
159 274 576 
410 682 752 
385 699 889 
84 300 385 
170 728 963 
231 431 953 
88 436 799 
460 539 971 
260 370 893 
16 106 279 
264 741 934 
190 571 699 
299 534 708 
53 425 840 
672 971 978 
518 726 729 
468 626 843 
407 484 849 
201 471 800 
216 246 302 
190 588 938 
752 916 936 
131 276 866 
146 615 749 
446 653 924 
26 379 529 
240 499 988 
69 472 631 
122 353 502 
103 282 627 
184 451 859 
88 446 645 
574 685 767 
130 694 927 
478 532 979 
193 342 863 
50 797 854 
78 260 419 
42 335 904 
234 467 910 
55 191 900 
191 426 812 
9 118 276 
420 819 860 
685 943 981 
94 141 754 
133 154 638 
408 857 904 
86 234 797 
119 227 920 
625 671 841 
158 166 909 
187 194 334 
386 411 456 
362 744 941 
395 589 768 
111 418 482 
97 466 580 
38 205 990 
342 393 519 
347 378 496 
16 139 397 
31 57 262 
121 652 696 
132 168 813 
223 573 836 
3 98 369 
191 640 720 
140 486 527 
153 285 309 
596 619 775 
415 679 978 
53 111 114 
25 177 869 
71 267 962 
337 478 622 
197 209 231 
76 633 968 
162 296 757 
44 484 641 
133 145 468 
293 312 564 
82 342 594 
233 570 668 
260 439 545 
97 413 527 
235 286 438 
27 31 629 
382 443 652 
395 554 800 
154 505 983 
300 388 847 
525 666 738 
295 526 875 
63 577 878 
102 883 916 
77 514 609 
120 456 867 
44 647 736 
144 215 258 
95 116 906 
68 717 985 
501 817 880 
543 626 898 
143 653 876 
320 561 697 
170 589 920 
242 589 699 
117 370 631 
144 746 747 
204 279 663 
75 703 875 
507 515 698 
301 648 980 
731 828 906 
157 364 814 
65 248 995 
387 500 677 
128 236 506 
362 558 564 
153 285 927 
182 285 999 
453 579 923 
543 778 984 
329 572 928 
144 820 919 
125 239 874 
22 91 274 
110 244 574 
113 411 875 
572 778 998 
106 615 713 
35 431 796 
288 871 927 
261 282 456 
514 591 683 
206 401 914 
474 604 754 
192 226 472 
223 642 876 
792 956 957 
265 380 908 
244 597 983 
626 753 990 
464 631 875 
217 810 833 
460 753 855 
172 314 778 
372 834 901 
332 745 847 
254 987 988 
48 227 732 
86 169 682 
224 278 334 
56 433 821 
108 499 765 
31 37 551 
139 162 584 
28 55 657 
189 274 822 
156 510 913 
18 260 499 
170 200 969 
298 425 990 
47 286 853 
649 737 855 
533 867 871 
25 204 906 
128 164 852 
170 400 580 
270 377 740 
416 793 809 
27 907 974 
337 714 882 
176 814 831 
469 591 668 
2 215 283 
83 335 971 
47 543 604 
106 318 646 
134 310 374 
488 906 940 
33 64 519 
174 276 476 
461 523 954 
146 899 957 
283 619 891 
106 698 809 
857 976 996 
101 189 410 
150 186 534 
323 437 695 
253 694 838 
346 594 754 
228 842 861 
24 87 997 
280 618 968 
57 81 956 
493 554 890 
265 646 814 
275 726 924 
6 174 327 
38 674 893 
20 250 846 
255 416 801 
52 214 722 
5 80 86 
52 739 932 
124 902 941 
76 485 881 
515 818 941 
301 684 953 
147 328 599 
100 795 876 
16 81 897 
454 490 576 
274 787 858 
316 352 364 
240 289 487 
363 366 435 
449 577 791 
538 622 872 
10 170 890 
135 139 166 
263 558 802 
403 584 802 
248 463 920 
186 592 745 
57 418 660 
415 450 711 
307 749 853 
16 657 821 
245 425 596 
75 161 745 
357 783 801 
418 799 807 
30 395 396 
503 705 714 
160 584 785 
8 389 557 
179 415 746 
584 908 934 
304 762 961 
131 571 752 
120 744 813 
1 777 892 
10 887 897 
621 650 921 
131 179 278 
49 440 806 
61 604 607 
302 396 437 
108 532 627 
167 189 284 
208 490 697 
82 270 792 
297 818 897 
195 385 753 
220 463 820 
462 778 907 
103 325 722 
198 256 810 
237 318 874 
310 885 891 
131 790 863 
609 730 813 
520 768 821 
826 898 970 
337 574 692 
96 386 529 
168 387 597 
126 161 720 
158 293 754 
337 593 883 
301 398 609 
218 437 718 
124 232 548 
63 258 906 
510 720 793 
401 737 819 
184 217 520 
396 437 782 
68 170 626 
236 386 479 
248 446 654 
233 295 927 
330 381 486 
153 161 902 
139 239 814 
24 166 737 
63 388 832 
221 867 988 
213 220 651 
467 493 769 
538 606 804 
16 150 855 
783 833 949 
118 320 331 
37 777 869 
436 624 893 
598 662 723 
433 535 947 
79 221 615 
520 779 907 
146 472 552 
114 304 903 
734 883 996 
118 350 423 
419 949 996 
307 783 807 
207 292 386 
25 378 502 
593 770 801 
118 251 322 
29 48 324 
111 680 932 
233 357 835 
296 773 981 
14 602 739 
133 183 623 
179 190 501 
66 583 690 
440 456 685 
154 267 872 
20 46 565 
180 703 792 
144 293 391 
66 112 810 
331 489 962 
443 908 989 
367 556 887 
58 295 372 
67 240 363 
710 735 740 
191 634 758 
131 239 965 
109 395 979 
32 585 693 
205 763 904 
386 531 557 
155 347 428 
87 447 546 
547 684 962 
276 530 991 
15 99 876 
338 545 956 
630 879 993 
203 206 511 
338 487 596 
162 731 977 
148 530 679 
164 292 631 
99 280 900 
125 421 545 
77 93 508 
508 610 789 
179 204 758 
355 639 811 
384 542 990 
365 901 980 
298 543 619 
52 660 715 
354 751 811 
311 474 576 
64 196 424 
88 287 942 
380 425 486 
248 805 995 
212 568 754 
237 675 846 
92 122 137 
241 716 944 
285 558 653 
602 955 987 
291 491 892 
112 559 569 
0 45 695 
39 515 740 
326 416 705 
652 738 775 
586 594 690 
271 583 667 
216 720 970 
281 361 983 
223 420 655 
46 313 528 
608 764 869 
280 339 875 
99 742 775 
583 863 963 
205 710 753 
508 557 619 
245 300 478 
643 880 919 
8 262 678 
564 586 729 
195 574 901 
385 399 753 
316 811 872 
491 610 691 
422 553 626 
320 629 815 
0 46 149 
162 744 844 
176 204 848 
233 258 723 
214 899 990 
173 190 976 
90 873 971 
418 731 888 
196 262 588 
242 286 993 
747 888 897 
11 222 397 
171 747 885 
390 564 600 
23 140 154 
18 873 874 
301 401 629 
128 520 971 
454 702 723 
360 579 735 
381 640 788 
203 271 320 
63 147 220 
178 199 536 
633 936 973 
420 595 979 
244 469 474 
402 865 960 
274 367 430 
31 44 829 
246 303 844 
112 332 525 
639 813 875 
286 705 944 
69 349 638 
19 820 924 
559 828 913 
227 237 252 
23 116 378 
469 492 968 
590 594 672 
251 302 691 
192 505 605 
412 579 968 
303 922 988 
57 439 622 
385 566 993 
73 366 551 
357 918 968 
644 755 890 
36 435 719 
450 775 996 
63 74 706 
23 405 473 
222 238 565 
87 136 882 
43 153 181 
122 469 579 
122 314 623 
351 700 993 
93 746 752 
85 121 964 
347 615 687 
28 490 575 
88 203 642 
761 783 854 
75 125 487 
451 651 875 
134 135 936 
190 260 933 
462 833 850 
754 757 982 
549 782 882 
434 513 673 
324 327 567 
283 570 702 
254 710 745 
106 279 390 
227 439 835 
79 357 824 
90 289 685 
435 782 865 
310 961 988 
411 545 831 
146 259 270 
211 768 796 
354 491 843 
208 318 468 
46 557 750 
293 340 591 
280 620 803 
568 624 675 
305 388 533 
339 581 849 
41 762 903 
249 265 433 
461 486 865 
248 734 786 
117 582 854 
30 280 298 
165 188 277 
296 683 853 
19 28 616 
449 715 971 
534 557 857 
46 317 680 
397 773 969 
323 492 914 
351 908 959 
217 453 630 
239 299 300 
183 269 313 
488 755 965 
82 657 797 
416 703 935 
185 444 767 
289 666 833 
2 24 614 
756 844 940 
200 732 757 
152 597 668 
1 207 515 
323 918 945 
60 298 572 
204 217 428 
127 316 477 
477 569 817 
114 263 395 
170 597 675 
262 319 466 
312 837 883 
75 595 945 
144 493 879 
407 880 977 
91 284 833 
384 714 891 
0 117 621 
260 271 741 
195 366 777 
242 846 847 
202 263 953 
58 235 930 
574 712 881 
226 468 700 
137 561 918 
177 182 709 
105 132 453 
457 667 744 
491 640 929 
516 522 614 
150 209 637 
130 417 697 
192 569 948 
217 499 622 
526 743 943 
167 261 471 
449 778 846 
46 227 848 
609 690 914 
143 378 885 
48 166 840 
32 658 890 
111 555 723 
271 603 859 
42 73 98 
643 773 824 
152 451 860 
162 809 817 
690 898 907 
284 380 459 
145 580 906 
350 766 769 
201 552 916 
258 480 598 
291 541 746 
152 390 648 
448 765 920 
57 145 455 
36 146 731 
104 584 609 
20 802 815 
119 224 961 
448 492 654 
59 418 636 
398 555 787 
123 307 961 
64 131 236 
99 602 992 
272 549 701 
400 608 776 
109 680 779 
60 511 968 
19 230 903 
235 396 833 
236 405 962 
168 233 888 
236 655 964 
128 232 885 
113 114 548 
45 276 633 
237 508 525 
1 107 461 
33 255 530 
435 485 776 
156 284 665 
1 183 642 
173 280 905 
545 729 833 
261 674 954 
93 239 422 
431 706 740 
307 522 711 
54 277 896 
181 211 756 
62 136 894 
202 478 623 
355 681 880 
91 750 802 
29 92 750 
952 959 994 
203 499 977 
179 570 853 
169 652 701 
238 241 636 
299 701 754 
29 192 981 
74 221 529 
54 422 926 
405 426 914 
181 498 946 
152 392 603 
47 410 465 
131 432 647 
138 204 394 
205 560 563 
48 356 509 
34 37 531 
12 932 967 
178 579 631 
96 600 890 
177 219 487 
79 160 209 
101 754 774 
292 694 822 
47 326 352 
490 671 761 
164 497 776 
188 453 943 
140 249 699 
269 618 763 
104 386 826 
49 717 766 
208 243 494 
850 907 946 
272 345 736 
66 596 730 
248 417 837 
241 406 788 
243 412 949 
182 263 860 
112 259 844 
600 625 739 
264 375 853 
263 542 667 
170 721 747 
162 791 904 
707 771 774 
347 538 539 
30 69 732 
427 441 460 
117 403 407 
336 545 991 
412 825 991 
446 456 801 
438 716 961 
18 569 666 
848 874 992 
57 132 243 
104 459 473 
42 303 464 
88 820 870 
162 691 817 
628 705 709 
171 202 983 
44 405 603 
102 557 912 
354 463 645 
47 736 769 
20 346 516 
450 564 987 
317 407 883 
249 817 898 
422 453 731 
190 460 689 
0 339 958 
39 91 812 
349 828 843 
402 705 943 
25 188 546 
106 291 803 
582 651 850 
507 922 988 
202 236 422 
245 600 962 
162 747 894 
56 318 508 
130 569 961 
168 390 696 
423 589 716 
59 335 726 
49 187 255 
401 558 886 
420 535 602 
35 471 735 
163 382 506 
251 267 334 
438 528 786 
14 176 617 
134 278 572 
387 595 909 
2 175 177 
123 204 367 
824 841 951 
121 338 614 
219 416 843 
47 84 202 
319 402 561 
17 482 683 
4 260 544 
371 655 905 
41 91 691 
89 158 516 
283 598 918 
158 728 841 
328 754 778 
228 648 662 
466 855 898 
603 617 739 
279 529 866 
122 887 968 
126 359 803 
53 421 877 
747 846 906 
81 831 846 
234 573 676 
152 207 320 
268 385 750 
490 611 896 
722 753 819 
509 856 966 
395 487 748 
16 59 734 
263 845 939 
655 692 710 
241 449 876 
104 326 645 
43 698 867 
58 782 839 
280 704 827 
185 451 864 
18 134 565 
230 372 489 
435 514 798 
260 623 867 
358 630 639 
186 474 942 
94 100 980 
312 630 688 
463 496 582 
83 375 910 
148 166 365 
178 240 467 
59 440 515 
117 237 766 
71 172 893 
78 566 825 
6 204 436 
10 296 558 
30 364 719 
141 773 872 
354 388 678 
592 790 898 
549 832 855 
98 544 961 
139 224 635 
318 641 973 
158 173 428 
311 415 559 
124 514 590 
406 484 996 
180 399 621 
544 566 902 
565 901 963 
145 387 768 
44 794 976 
525 582 792 
658 782 814 
374 821 897 
138 431 539 
311 525 945 
825 873 882 
273 375 948 
152 604 727 
508 516 847 
361 545 903 
199 247 653 
117 171 672 
228 349 632 
387 910 923 
130 677 858 
493 700 844 
33 225 980 
149 682 991 
155 285 935 
215 629 739 
619 648 931 
5 44 110 
95 362 990 
14 348 681 
236 885 900 
620 867 948 
433 693 777 
294 439 774 
0 193 682 
73 792 808 
66 137 626 
388 454 898 
358 597 843 
14 229 340 
405 675 818 
44 476 517 
410 967 994 
256 903 976 
374 639 665 
488 530 580 
51 383 886 
651 657 802 
123 466 697 
94 390 910 
321 430 759 
255 752 879 
509 514 621 
15 317 802 
43 326 760 
496 618 778 
383 660 904 
137 730 778 
427 650 958 
81 453 521 
232 902 997 
277 549 928 
161 377 830 
54 145 288 
182 797 995 
616 830 918 
239 886 989 
28 204 575 
192 231 986 
393 660 997 
26 53 918 
314 342 893 
91 254 916 
129 576 592 
19 300 561 
50 274 567 
143 348 855 
121 624 666 
297 436 793 
98 492 532 
451 804 958 
199 511 838 
409 715 734 
130 467 565 
501 618 967 
128 801 867 
124 564 818 
500 529 786 
149 227 543 
256 991 998 
148 557 829 
521 545 807 
176 264 871 
53 434 759 
220 374 938 
147 760 783 
47 160 755 
45 187 450 
95 247 867 
474 495 638 
38 309 778 
279 333 538 
460 841 939 
38 792 857 
424 856 985 
104 363 854 
113 534 958 
278 614 636 
694 783 802 
440 633 690 
541 604 658 
155 831 882 
318 439 625 
411 728 919 
205 695 726 
173 870 997 
5 118 965 
92 231 674 
63 661 734 
140 863 876 
156 678 789 
296 541 552 
376 463 673 
527 557 918 
64 145 318 
212 323 701 
134 183 652 
9 834 999 
22 30 197 
130 148 201 
319 491 923 
16 218 989 
22 531 756 
129 449 907 
305 335 989 
562 883 991 
295 671 841 
191 698 952 
365 465 951 
96 309 660 
445 602 906 
357 508 909 
365 382 579 
537 926 972 
48 98 129 
438 663 759 
73 512 768 
398 984 998 
39 499 558 
19 41 865 
504 622 915 
114 118 437 
307 318 740 
96 690 973 
427 737 971 
408 813 940 
450 596 627 
79 586 774 
230 297 377 
14 59 155 
28 175 399 
247 291 814 
908 916 947 
89 112 297 
528 601 686 
257 582 812 
202 499 950 
14 464 957 
577 719 756 
84 350 787 
680 697 918 
122 513 516 
189 624 969 
142 464 611 
349 456 543 
231 522 653 
284 375 438 
770 785 903 
556 660 746 
426 596 601 
162 440 566 
325 342 849 
377 849 976 
150 388 847 
645 690 982 
73 134 729 
205 247 273 
219 367 937 
50 526 899 
427 932 973 
524 736 937 
620 707 862 
53 237 799 
389 458 813 
171 704 908 
154 672 982 
138 381 526 
27 74 501 
77 860 997 
363 537 892 
328 402 595 
318 744 884 
32 529 925 
60 110 154 
331 565 805 
268 321 962 
45 634 695 
277 282 406 
373 386 393 
301 321 729 
153 803 924 
539 597 622 
134 312 595 
322 622 954 
178 291 350 
207 600 986 
171 266 895 
390 616 870 
51 430 552 
157 774 862 
43 69 177 
157 166 642 
6 656 799 
602 675 868 
60 623 807 
234 458 849 
556 681 850 
128 316 999 
583 727 827 
11 54 821 
12 21 912 
75 511 657 
5 81 551 
239 339 824 
184 222 883 
25 628 737 
384 475 531 
447 709 807 
94 662 984 
708 757 837 
154 642 887 
199 249 519 
26 646 905 
23 357 992 
269 546 826 
272 274 492 
313 524 793 
570 769 817 
677 713 807 
118 667 958 
299 521 863 
33 309 780 
407 763 802 
418 751 797 
163 252 866 
76 632 848 
133 668 680 
214 330 972 
36 445 634 
120 584 652 
164 411 879 
54 260 940 
331 455 814 
771 821 991 
68 79 713 
57 311 992 
160 234 619 
187 506 955 
370 422 925 
211 843 907 
183 275 689 
149 396 517 
517 656 690 
322 328 979 
288 500 981 
237 409 954 
24 766 998 
379 465 520 
209 372 799 
415 638 708 
365 826 855 
189 298 896 
111 708 911 
417 525 933 
373 587 785 
10 138 607 
133 302 633 
121 320 448 
37 364 511 
424 843 963 
432 497 696 
3 405 960 
379 556 997 
665 744 833 
583 963 985 
148 820 876 
120 332 896 
510 637 792 
14 675 743 
184 401 996 
144 495 772 
804 806 994 
431 885 938 
48 325 368 
251 539 661 
762 821 952 
770 779 932 
170 542 956 
2 38 594 
3 643 931 
235 304 556 
215 224 732 
99 159 523 
52 617 981 
695 734 781 
98 112 253 
323 665 969 
107 319 777 
169 816 888 
331 551 608 
195 241 519 
321 756 821 
414 687 817 
426 947 960 
60 542 574 
232 599 943 
663 664 942 
179 240 964 
321 557 638 
22 219 274 
340 412 662 
609 836 937 
113 325 454 
21 529 540 
82 142 991 
429 768 831 
371 456 917 
0 328 739 
98 422 428 
109 161 395 
99 115 725 
623 702 733 
409 547 641 
634 898 991 
103 194 556 
319 536 898 
338 768 848 
445 812 905 
97 819 938 
15 353 918 
38 168 985 
455 480 673 
161 664 990 
167 362 711 
367 828 951 
160 641 693 
142 896 989 
80 457 508 
651 761 893 
207 257 456 
311 429 635 
201 681 751 
738 879 956 
1 464 716 
71 536 750 
261 452 733 
233 335 925 
321 971 996 
374 431 441 
530 687 720 
445 802 881 
99 299 471 
38 768 902 
719 859 911 
10 772 843 
335 568 908 
239 604 734 
195 420 876 
67 641 880 
132 780 986 
160 816 862 
592 601 823 
636 930 980 
146 550 634 
155 215 657 
183 762 860 
79 412 579 
115 144 663 
9 703 920 
101 468 830 
166 274 414 
70 162 647 
37 779 980 
224 649 887 
131 185 469 
780 885 915 
93 249 352 
259 433 683 
123 691 825 
41 682 787 
119 552 771 
212 791 893 
221 699 945 
352 846 871 
157 327 624 
108 119 629 
722 785 868 
242 272 627 
115 555 584 
370 567 692 
439 770 986 
506 824 970 
441 473 675 
119 367 667 
156 723 993 
270 821 871 
102 840 957 
63 630 935 
94 460 743 
225 319 907 
852 855 884 
213 318 940 
740 881 943 
20 642 864 
192 606 861 
70 425 801 
73 184 584 
311 484 982 
163 843 993 
359 747 955 
33 109 959 
583 646 973 
884 953 975 
23 126 536 
438 742 871 
316 346 880 
802 879 980 
115 351 513 
113 496 581 
290 639 866 
59 773 827 
380 597 854 
433 646 697 
50 256 375 
56 282 324 
249 268 639 
252 339 901 
181 309 602 
46 543 570 
428 445 625 
774 852 972 
9 192 518 
6 256 328 
453 488 536 
25 526 955 
19 464 882 
4 114 324 
458 538 738 
224 598 641 
62 151 442 
629 780 994 
188 542 815 
579 694 895 
106 518 944 
105 387 405 
139 654 992 
154 645 878 
43 93 698 
400 850 976 
397 670 939 
36 670 886 
485 631 743 
56 233 289 
59 77 119 
68 93 206 
60 288 971 
117 218 304 
188 345 837 
253 262 375 
508 579 978 
251 853 910 
130 398 677 
313 317 688 
84 361 923 
324 347 666 
277 522 934 
170 174 807 
465 591 683 
423 749 844 
226 684 792 
736 943 971 
143 145 986 
35 698 786 
452 875 968 
249 409 538 
106 261 423 
214 570 734 
131 757 772 
349 415 820 
241 719 808 
246 457 580 
138 683 829 
286 983 994 
49 224 363 
149 212 762 
